Minimum_Temp,Maximum_Temp,Rainfall
23.5,32.0,0.0
22.2,29.6,0.0
22.0,31.7,2.0
22.3,29.6,1.6
23.1,29.1,0.2
22.7,29.2,0.2
22.7,31.9,0.0
22.4,31.7,0.0
21.0,30.6,0.0
21.3,32.0,0.0
22.5,32.2,0.0
22.3,30.0,0.0
22.6,31.0,0.0
23.3,36.2,0.0
22.2,28.8,46.8
20.9,24.2,60.2
21.1,29.3,0.2
21.2,31.1,0.0
22.4,31.0,5.2
19.8,25.0,5.8
19.1,26.2,0.0
21.6,31.4,0.0
21.4,27.3,0.0
18.9,28.6,0.0
21.6,29.3,0.0
18.8,30.9,2.6
17.8,20.2,4.0
18.5,26.1,0.0
21.4,31.5,0.0
18.3,24.4,29.4
17.4,22.2,0.0
16.9,25.6,0.0
19.5,28.0,2.6
20.2,27.2,0.4
19.6,27.5,0.0
17.7,27.5,0.0
18.2,26.6,0.0
17.8,29.8,0.0
21.3,32.4,0.0
19.1,26.0,1.8
19.1,26.2,7.2
19.2,25.7,0.0
19.5,28.0,15.4
20.0,29.2,0.0
22.0,31.7,1.2
17.8,22.3,30.2
17.9,21.9,54.4
19.0,26.1,0.0
18.1,27.3,0.0
20.9,27.5,0.0
19.1,26.5,0.0
18.5,26.2,0.0
18.1,26.8,0.0
17.9,28.1,0.0
20.3,29.2,0.0
17.4,27.0,0.0
18.8,29.0,0.0
19.6,30.9,0.0
18.4,26.1,2.2
18.2,28.4,0.2
19.7,26.8,0.0
20.2,29.6,0.0
21.2,29.3,0.0
18.3,24.3,0.0
16.0,23.8,0.0
13.0,26.0,0.0
14.2,26.5,0.0
14.4,25.8,0.0
18.2,26.2,0.0
16.6,27.7,0.0
16.2,25.2,0.0
16.8,27.0,0.0
16.7,28.2,0.0
17.8,28.5,0.0
18.1,28.6,0.0
18.0,22.1,0.0
17.6,24.5,0.0
18.6,27.9,0.0
19.0,27.3,0.0
15.4,27.4,0.0
16.9,27.1,0.0
16.0,26.5,0.0
14.6,24.9,3.2
15.9,21.9,2.4
13.7,23.2,0.0
10.6,25.0,0.0
10.9,25.1,0.0
13.0,26.7,0.0
14.3,25.0,0.0
14.3,27.2,0.0
17.2,30.5,0.0
17.0,24.7,0.0
14.1,21.9,0.0
12.1,24.6,0.0
15.7,23.2,0.0
15.9,28.5,0.0
16.5,26.1,0.0
15.8,27.9,0.0
13.4,21.5,0.0
11.5,21.4,0.0
11.1,23.5,0.0
9.2,24.0,0.0
13.0,25.7,0.0
10.2,24.6,0.0
12.0,22.9,0.0
10.1,24.2,0.0
16.0,27.3,0.0
16.7,27.9,0.0
12.6,23.6,0.0
12.4,23.6,0.0
11.5,23.3,0.0
11.7,24.2,0.0
15.1,25.3,0.0
17.1,26.7,0.0
12.4,23.7,0.0
15.6,27.5,0.0
